episode,step,s0,s1,s2,s3,a,r,s_0,s_1,s_2,s_3,p0,p1
0,0,0.02,-0.037,-0.022,0.009,0,1.0,0.019,-0.229,-0.022,0.229,0.58,1.0
0,1,0.019,-0.229,-0.022,0.229,0,1.0,0.015,-0.421,-0.017,0.449,0.58,1.0
0,2,0.015,-0.421,-0.017,0.449,0,1.0,0.006,-0.612,-0.008,0.671,0.58,1.0
0,3,0.006,-0.612,-0.008,0.671,0,1.0,-0.006,-0.804,0.005,0.894,0.58,1.0
0,4,-0.006,-0.804,0.005,0.894,1,1.0,-0.022,-0.612,0.023,0.67,0.58,1.0
0,5,-0.022,-0.612,0.023,0.67,1,1.0,-0.034,-0.421,0.036,0.45,0.58,1.0
0,6,-0.034,-0.421,0.036,0.45,1,1.0,-0.043,-0.229,0.045,0.234,0.58,1.0
0,7,-0.043,-0.229,0.045,0.234,0,1.0,-0.047,-0.421,0.05,0.47,0.58,1.0
0,8,-0.047,-0.421,0.05,0.47,0,1.0,-0.056,-0.614,0.06,0.707,0.58,1.0
0,9,-0.056,-0.614,0.06,0.707,1,1.0,-0.068,-0.423,0.074,0.497,0.58,1.0
0,10,-0.068,-0.423,0.074,0.497,0,1.0,-0.077,-0.615,0.084,0.738,0.58,1.0
0,11,-0.077,-0.615,0.084,0.738,0,1.0,-0.089,-0.808,0.098,0.982,0.58,1.0
0,12,-0.089,-0.808,0.098,0.982,0,1.0,-0.105,-1.001,0.118,1.229,0.58,1.0
0,13,-0.105,-1.001,0.118,1.229,1,1.0,-0.125,-0.81,0.143,1.035,0.58,1.0
0,14,-0.125,-0.81,0.143,1.035,1,1.0,-0.141,-0.62,0.163,0.849,0.58,1.0
0,15,-0.141,-0.62,0.163,0.849,1,1.0,-0.154,-0.43,0.18,0.669,0.58,1.0
0,16,-0.154,-0.43,0.18,0.669,0,1.0,-0.162,-0.623,0.194,0.929,0.58,1.0
0,17,-0.162,-0.623,0.194,0.929,1,1.0,-0.175,-0.434,0.212,0.758,0.58,1.0
1,0,0.001,0.045,-0.036,0.045,1,1.0,0.002,0.424,-0.035,-4.298,0.99,0.1
1,1,0.002,0.424,-0.035,-4.298,0,1.0,0.011,0.058,-0.121,-0.258,0.99,0.1
1,2,0.011,0.058,-0.121,-0.258,0,1.0,0.012,-0.282,-0.126,3.257,0.99,0.1
1,3,0.012,-0.282,-0.126,3.257,0,1.0,0.006,-0.623,-0.061,6.765,0.99,0.1
1,4,0.006,-0.623,-0.061,6.765,1,1.0,-0.006,-0.246,0.075,2.395,0.99,0.1
1,5,-0.006,-0.246,0.075,2.395,1,1.0,-0.011,0.109,0.123,-1.417,0.99,0.1
1,6,-0.011,0.109,0.123,-1.417,1,1.0,-0.009,0.449,0.094,-4.925,0.99,0.1
1,7,-0.009,0.449,0.094,-4.925,0,1.0,-0.0,0.067,-0.004,-0.452,0.99,0.1
1,8,-0.0,0.067,-0.004,-0.452,0,1.0,0.001,-0.304,-0.013,3.724,0.99,0.1
1,9,0.001,-0.304,-0.013,3.724,1,1.0,-0.005,0.07,0.061,-0.526,0.99,0.1
1,10,-0.005,0.07,0.061,-0.526,0,1.0,-0.003,-0.312,0.051,3.904,0.99,0.1
1,11,-0.003,-0.312,0.051,3.904,1,1.0,-0.01,0.05,0.129,-0.053,0.99,0.1
1,12,-0.01,0.05,0.129,-0.053,0,1.0,-0.009,-0.339,0.128,4.532,0.99,0.1
1,13,-0.009,-0.339,0.128,4.532,1,1.0,-0.015,0.004,0.218,1.01,0.99,0.1
2,0,-0.024,-0.02,0.031,-0.041,1,1.0,-0.024,0.17,0.031,-0.22,0.57,1.2
2,1,-0.024,0.17,0.031,-0.22,1,1.0,-0.021,0.36,0.026,-0.4,0.57,1.2
2,2,-0.021,0.36,0.026,-0.4,0,1.0,-0.014,0.169,0.018,-0.209,0.57,1.2
2,3,-0.014,0.169,0.018,-0.209,1,1.0,-0.01,0.359,0.014,-0.391,0.57,1.2
2,4,-0.01,0.359,0.014,-0.391,1,1.0,-0.003,0.55,0.006,-0.574,0.57,1.2
2,5,-0.003,0.55,0.006,-0.574,1,1.0,0.008,0.74,-0.005,-0.759,0.57,1.2
2,6,0.008,0.74,-0.005,-0.759,1,1.0,0.023,0.93,-0.02,-0.945,0.57,1.2
2,7,0.023,0.93,-0.02,-0.945,0,1.0,0.041,0.74,-0.039,-0.764,0.57,1.2
2,8,0.041,0.74,-0.039,-0.764,0,1.0,0.056,0.55,-0.055,-0.586,0.57,1.2
2,9,0.056,0.55,-0.055,-0.586,1,1.0,0.067,0.741,-0.066,-0.782,0.57,1.2
2,10,0.067,0.741,-0.066,-0.782,0,1.0,0.082,0.551,-0.082,-0.61,0.57,1.2
2,11,0.082,0.551,-0.082,-0.61,1,1.0,0.093,0.742,-0.094,-0.811,0.57,1.2
2,12,0.093,0.742,-0.094,-0.811,0,1.0,0.108,0.553,-0.11,-0.646,0.57,1.2
2,13,0.108,0.553,-0.11,-0.646,1,1.0,0.119,0.744,-0.123,-0.851,0.57,1.2
2,14,0.119,0.744,-0.123,-0.851,0,1.0,0.134,0.555,-0.14,-0.693,0.57,1.2
2,15,0.134,0.555,-0.14,-0.693,1,1.0,0.145,0.746,-0.154,-0.902,0.57,1.2
2,16,0.145,0.746,-0.154,-0.902,0,1.0,0.16,0.557,-0.172,-0.751,0.57,1.2
2,17,0.16,0.557,-0.172,-0.751,0,1.0,0.171,0.369,-0.187,-0.605,0.57,1.2
2,18,0.171,0.369,-0.187,-0.605,0,1.0,0.178,0.18,-0.199,-0.463,0.57,1.2
2,19,0.178,0.18,-0.199,-0.463,1,1.0,0.182,0.372,-0.209,-0.679,0.57,1.2
2,20,0.182,0.372,-0.209,-0.679,0,1.0,0.189,0.184,-0.222,-0.543,0.57,1.2
3,0,-0.041,-0.026,0.03,0.008,1,1.0,-0.042,0.163,0.03,-0.165,0.67,1.4
3,1,-0.042,0.163,0.03,-0.165,0,1.0,-0.039,-0.027,0.027,0.02,0.67,1.4
3,2,-0.039,-0.027,0.027,0.02,0,1.0,-0.039,-0.217,0.027,0.204,0.67,1.4
3,3,-0.039,-0.217,0.027,0.204,1,1.0,-0.044,-0.027,0.031,0.03,0.67,1.4
3,4,-0.044,-0.027,0.031,0.03,1,1.0,-0.044,0.162,0.032,-0.143,0.67,1.4
3,5,-0.044,0.162,0.032,-0.143,1,1.0,-0.041,0.352,0.029,-0.315,0.67,1.4
3,6,-0.041,0.352,0.029,-0.315,1,1.0,-0.034,0.542,0.023,-0.489,0.67,1.4
3,7,-0.034,0.542,0.023,-0.489,1,1.0,-0.023,0.731,0.013,-0.664,0.67,1.4
3,8,-0.023,0.731,0.013,-0.664,1,1.0,-0.008,0.921,-0.0,-0.84,0.67,1.4
3,9,-0.008,0.921,-0.0,-0.84,0,1.0,0.01,0.731,-0.017,-0.661,0.67,1.4
3,10,0.01,0.731,-0.017,-0.661,1,1.0,0.025,0.921,-0.03,-0.844,0.67,1.4
3,11,0.025,0.921,-0.03,-0.844,0,1.0,0.043,0.732,-0.047,-0.67,0.67,1.4
3,12,0.043,0.732,-0.047,-0.67,0,1.0,0.058,0.542,-0.06,-0.501,0.67,1.4
3,13,0.058,0.542,-0.06,-0.501,0,1.0,0.069,0.353,-0.07,-0.334,0.67,1.4
3,14,0.069,0.353,-0.07,-0.334,0,1.0,0.076,0.164,-0.077,-0.169,0.67,1.4
3,15,0.076,0.164,-0.077,-0.169,0,1.0,0.079,-0.026,-0.081,-0.006,0.67,1.4
3,16,0.079,-0.026,-0.081,-0.006,1,1.0,0.078,0.165,-0.081,-0.199,0.67,1.4
3,17,0.078,0.165,-0.081,-0.199,1,1.0,0.082,0.355,-0.085,-0.393,0.67,1.4
3,18,0.082,0.355,-0.085,-0.393,0,1.0,0.089,0.166,-0.092,-0.231,0.67,1.4
3,19,0.089,0.166,-0.092,-0.231,0,1.0,0.092,-0.023,-0.097,-0.072,0.67,1.4
3,20,0.092,-0.023,-0.097,-0.072,1,1.0,0.092,0.168,-0.099,-0.267,0.67,1.4
3,21,0.092,0.168,-0.099,-0.267,0,1.0,0.095,-0.021,-0.104,-0.109,0.67,1.4
3,22,0.095,-0.021,-0.104,-0.109,1,1.0,0.095,0.17,-0.106,-0.306,0.67,1.4
3,23,0.095,0.17,-0.106,-0.306,1,1.0,0.098,0.36,-0.112,-0.503,0.67,1.4
3,24,0.098,0.36,-0.112,-0.503,1,1.0,0.105,0.551,-0.122,-0.701,0.67,1.4
3,25,0.105,0.551,-0.122,-0.701,0,1.0,0.116,0.362,-0.136,-0.548,0.67,1.4
3,26,0.116,0.362,-0.136,-0.548,1,1.0,0.124,0.553,-0.147,-0.749,0.67,1.4
3,27,0.124,0.553,-0.147,-0.749,1,1.0,0.135,0.744,-0.162,-0.951,0.67,1.4
3,28,0.135,0.744,-0.162,-0.951,1,1.0,0.149,0.935,-0.181,-1.154,0.67,1.4
3,29,0.149,0.935,-0.181,-1.154,1,1.0,0.168,1.126,-0.204,-1.36,0.67,1.4
3,30,0.168,1.126,-0.204,-1.36,0,1.0,0.191,0.938,-0.232,-1.228,0.67,1.4
4,0,0.044,0.001,0.048,-0.042,1,1.0,0.044,0.19,0.047,-0.187,0.65,1.6
4,1,0.044,0.19,0.047,-0.187,1,1.0,0.048,0.378,0.043,-0.332,0.65,1.6
4,2,0.048,0.378,0.043,-0.332,0,1.0,0.056,0.189,0.036,-0.172,0.65,1.6
4,3,0.056,0.189,0.036,-0.172,0,1.0,0.059,-0.0,0.033,-0.013,0.65,1.6
4,4,0.059,-0.0,0.033,-0.013,0,1.0,0.059,-0.189,0.033,0.145,0.65,1.6
4,5,0.059,-0.189,0.033,0.145,1,1.0,0.056,-0.001,0.036,-0.002,0.65,1.6
4,6,0.056,-0.001,0.036,-0.002,1,1.0,0.056,0.188,0.036,-0.149,0.65,1.6
4,7,0.056,0.188,0.036,-0.149,1,1.0,0.059,0.376,0.033,-0.296,0.65,1.6
4,8,0.059,0.376,0.033,-0.296,0,1.0,0.067,0.187,0.027,-0.138,0.65,1.6
4,9,0.067,0.187,0.027,-0.138,1,1.0,0.071,0.376,0.024,-0.286,0.65,1.6
4,10,0.071,0.376,0.024,-0.286,1,1.0,0.078,0.564,0.018,-0.435,0.65,1.6
4,11,0.078,0.564,0.018,-0.435,0,1.0,0.089,0.376,0.009,-0.279,0.65,1.6
4,12,0.089,0.376,0.009,-0.279,0,1.0,0.097,0.187,0.004,-0.125,0.65,1.6
4,13,0.097,0.187,0.004,-0.125,1,1.0,0.101,0.375,0.001,-0.277,0.65,1.6
4,14,0.101,0.375,0.001,-0.277,1,1.0,0.108,0.564,-0.004,-0.43,0.65,1.6
4,15,0.108,0.564,-0.004,-0.43,0,1.0,0.12,0.375,-0.013,-0.278,0.65,1.6
4,16,0.12,0.375,-0.013,-0.278,1,1.0,0.127,0.564,-0.018,-0.433,0.65,1.6
